minutes;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
0;324000;326256;326862;328296;329736;331176;332616;334062;335520;336978;338442;339912;341394;342888;344388;345900;347424;348960;350508;352074;353652;355248;356862;358494;360150;361824;363522;365238;366984;368754;370554;372384;374244;376134;378060;380022;382020;384060;386142;388266;390438;392658;394932;397254;399636;402078;404586;407154;409794;412506;415296;418164;421122;424170;427308;430548;433890;437346;440916;444606;448422;452376;456468;460710;465102;469662;474384
1;324828;327084;327690;329124;330558;331998;333444;334890;336342;337800;339264;340734;342216;343704;345204;346716;348234;349770;351318;352884;354462;356058;357666;359298;360948;362622;364314;366036;367776;369546;371340;373164;375018;376908;378828;380790;382782;384816;386892;389016;391182;393396;395664;397980;400356;402792;405288;407850;410484;413190;415968;418830;421776;424812;427944;431172;434502;437946;441498;445176;448980;452922;456996;461220;465600;470136;474846
2;325650;327906;328518;329952;331386;332826;334266;335712;337164;338622;340086;341556;343038;344526;346020;347532;349050;350586;352134;353694;355272;356862;358470;360102;361752;363420;365112;366828;368568;370332;372126;373944;375798;377682;379602;381552;383544;385572;387648;389760;391926;394134;396390;398706;401076;403506;405996;408552;411174;413868;416646;419496;422436;425460;428580;431796;435114;438546;442086;445752;449544;453462;457524;461736;466092;470616;475308
3;326478;328734;329340;330774;332208;333648;335088;336534;337986;339444;340908;342378;343854;345342;346836;348348;349866;351396;352944;354504;356076;357666;359274;360906;362550;364218;365904;367620;369354;371118;372906;374724;376572;378456;380370;382320;384306;386334;388398;390510;392664;394866;397122;399432;401796;404214;406698;409248;411864;414552;417318;420162;423090;426102;429210;432420;435726;439146;442674;446328;450102;454008;458052;462246;466590;471096;475764
4;327306;329562;330168;331602;333036;334470;335916;337356;338808;340266;341724;343194;344676;346158;347658;349164;350682;352212;353754;355314;356886;358476;360078;361704;363348;365016;366702;368412;370146;371904;373692;375504;377352;379224;381138;383082;385068;387084;389148;391254;393408;395604;397854;400152;402510;404928;407400;409944;412554;415236;417990;420822;423744;426750;429846;433044;436338;439746;443262;446898;450660;454554;458586;462762;467088;471570;476226
5;328128;330384;330990;332424;333858;335298;336738;338184;339630;341088;342546;344016;345492;346980;348474;349980;351492;353022;354564;356118;357690;359280;360882;362508;364146;365808;367494;369198;370932;372690;374472;376284;378126;379998;381906;383844;385824;387840;389898;391998;394146;396336;398580;400878;403230;405636;408108;410640;413238;415914;418662;421488;424398;427392;430482;433662;436950;440340;443850;447474;451218;455100;459114;463272;467580;472050;476682
6;328956;331212;331818;333252;334686;336120;337560;339006;340452;341910;343368;344838;346314;347796;349290;350790;352308;353838;355374;356928;358500;360084;361686;363306;364944;366606;368286;369990;371718;373470;375252;377064;378900;380772;382674;384612;386586;388596;390648;392748;394884;397074;399312;401598;403944;406344;408810;411336;413928;416592;419334;422148;425046;428034;431112;434286;437562;440940;444432;448044;451776;455640;459642;463782;468078;472530;477144
7;329778;332040;332646;334074;335508;336948;338382;339828;341274;342732;344190;345654;347130;348612;350106;351606;353124;354648;356184;357738;359304;360888;362490;364104;365742;367404;369078;370782;372504;374256;376032;377838;379674;381540;383442;385374;387342;389352;391398;393492;395622;397806;400038;402324;404658;407058;409512;412032;414618;417270;420000;422808;425700;428676;431742;434904;438168;441540;445020;448614;452334;456186;460170;464298;468576;473010;477606
8;330606;332862;333468;334902;336336;337770;339210;340650;342096;343548;345012;346476;347946;349428;350922;352422;353934;355458;356994;358548;360114;361692;363294;364908;366540;368196;369870;371574;373296;375042;376818;378618;380448;382308;384204;386136;388098;390102;392148;394236;396366;398538;400764;403044;405378;407766;410214;412722;415302;417948;420672;423474;426354;429318;432378;435528;438780;442134;445602;449190;452892;456726;460698;464808;469068;473484;478062
9;331434;333690;334296;335724;337158;338592;340032;341472;342918;344370;345828;347292;348768;350244;351738;353238;354750;356268;357804;359352;360918;362496;364092;365706;367338;368994;370662;372360;374082;375822;377598;379392;381222;383082;384972;386898;388860;390858;392898;394974;397104;399270;401490;403764;406092;408474;410916;413418;415986;418632;421344;424134;427002;429960;433008;436146;439386;442734;446190;449760;453450;457272;461226;465324;469566;473964;478524
