0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
324000;326256;326862;328296;329736;331176;332616;334062;335520;336978;338442;339912;341394;342888;344388;345900;347424;348960;350508;352074;353652;355248;356862;358494;360150;361824;363522;365238;366984;368754;370554;372384;374244;376134;378060;380022;382020;384060;386142;388266;390438;392658;394932;397254;399636;402078;404586;407154;409794;412506;415296;418164;421122;424170;427308;430548;433890;437346;440916;444606;448422;452376;456468;460710;465102;469662;474384
424482;426624;427044;428316;429582;430842;432102;433350;434598;435840;437082;438324;439566;440808;442044;443286;444534;445776;447030;448278;449538;450804;452070;453348;454626;455922;457218;458532;459852;461184;462528;463884;465258;466644;468048;469464;470904;472362;473838;475338;476862;478404;479976;481572;483198;484854;486546;488262;490020;491814;493644;495522;497436;499398;501408;503472;505590;507762;509994;512292;514656;517092;519606;522198;524868;527634;530490
532152;533892;533754;534546;535326;536100;536862;537624;538374;539124;539862;540600;541338;542064;542790;543516;544236;544956;545676;546390;547110;547824;548538;549258;549972;550692;551412;552138;552864;553590;554328;555060;555804;556548;557304;558060;558822;559596;560376;561162;561960;562764;563580;564408;565248;566094;566958;567834;568728;569634;570558;571500;572460;573438;574434;575460;576504;577572;578670;579792;580944;582132;583350;584598;585894;587220;588594
648000;648972;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000;648000
763848;763974;762246;761454;760674;759900;759138;758376;757626;756876;756138;755400;754662;753936;753210;752484;751764;751044;750324;749610;748890;748176;747462;746742;746028;745308;744588;743862;743136;742410;741672;740940;740196;739452;738696;737940;737178;736404;735624;734838;734040;733236;732420;731592;730752;729906;729042;728166;727272;726366;725442;724500;723540;722562;721566;720540;719496;718428;717330;716208;715056;713868;712650;711402;710106;708780;707406
871518;871092;868956;867684;866418;865158;863898;862650;861402;860160;858918;857676;856434;855192;853956;852714;851466;850224;848970;847722;846462;845196;843930;842652;841374;840078;838782;837468;836148;834816;833472;832116;830742;829356;827952;826536;825096;823638;822162;820662;819138;817596;816024;814428;812802;811146;809454;807738;805980;804186;802356;800478;798564;796602;794592;792528;790410;788238;786006;783708;781344;778908;776394;773802;771132;768366;765510
972000;971394;969138;967704;966264;964824;963384;961938;960480;959022;957558;956088;954606;953112;951612;950100;948576;947040;945492;943926;942348;940752;939138;937506;935850;934176;932478;930762;929016;927246;925446;923616;921756;919866;917940;915978;913980;911940;909858;907734;905562;903342;901068;898746;896364;893922;891414;888846;886206;883494;880704;877836;874878;871830;868692;865452;862110;858654;855084;851394;847578;843624;839532;835290;830898;826338;821616
1072482;1072050;1069878;1068564;1067238;1065900;1064550;1063188;1061808;1060416;1059006;1057578;1056132;1054662;1053180;1051668;1050138;1048578;1046994;1045386;1043748;1042074;1040370;1038636;1036860;1035054;1033200;1031310;1029372;1027386;1025352;1023264;1021122;1018920;1016658;1014330;1011936;1009464;1006920;1004292;1001574;998766;995862;992856;989742;986514;983160;979680;976056;972294;968376;964290;960036;955590;950958;946116;941058;935778;930252;924474;918432;912114;905514;898614;891414;883902;876078
1180152;1180278;1178502;1177662;1176810;1175946;1175070;1174176;1173264;1172340;1171398;1170432;1169454;1168446;1167426;1166376;1165302;1164204;1163076;1161918;1160724;1159506;1158246;1156950;1155612;1154232;1152804;1151328;1149798;1148214;1146564;1144854;1143078;1141224;1139286;1137270;1135152;1132938;1130616;1128174;1125600;1122894;1120032;1117002;1113792;1110384;1106760;1102896;1098768;1094346;1089606;1084512;1079022;1073100;1066698;1059762;1052238;1044060;1035168;1025496;1014978;1003554;991164;977784;963402;948048;931800
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115848;117612;117498;118338;119190;120054;120930;121824;122736;123660;124602;125568;126546;127554;128574;129624;130698;131796;132924;134082;135276;136494;137754;139050;140388;141768;143196;144672;146202;147786;149436;151146;152922;154776;156714;158730;160848;163062;165384;167826;170400;173106;175968;178998;182208;185616;189240;193104;197232;201654;206394;211488;216978;222900;229302;236238;243762;251940;260832;270504;281022;292446;304836;318216;332598;347952;364200
223518;225678;226122;227436;228762;230100;231450;232812;234192;235584;236994;238422;239868;241338;242820;244332;245862;247422;249006;250614;252252;253926;255630;257364;259140;260946;262800;264690;266628;268614;270648;272736;274878;277080;279342;281670;284064;286536;289080;291708;294426;297234;300138;303144;306258;309486;312840;316320;319944;323706;327624;331710;335964;340410;345042;349884;354942;360222;365748;371526;377568;383886;390486;397386;404586;412098;419922
